algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,database,elapsedTime(s),shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,link09,405.991,925.0,1866.0,582.0,582.0,6.0,-1129933.8504797688
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,link10,452.233,921.0,1878.0,598.0,598.0,6.0,-1128579.9759764282
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,link_ALL,535.446,668.0,1368.0,436.0,436.0,5.0,-1.1847254569155417E7
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,link00,408.086,898.0,1830.0,556.0,556.0,6.0,-1125675.1968383125
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,link01,399.665,976.0,2038.0,696.0,696.0,5.0,-1150963.9822840565
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,link02,439.933,962.0,1960.0,644.0,644.0,5.0,-1141799.6554619668
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,link03,439.586,987.0,2024.0,692.0,692.0,6.0,-1143733.4141397867
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,link04,417.498,967.0,1976.0,670.0,670.0,5.0,-1136835.048538122
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,link05,445.564,952.0,1938.0,676.0,676.0,6.0,-1140464.417277376
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,link06,429.011,979.0,1996.0,678.0,678.0,6.0,-1140026.121585102
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,link07,406.218,929.0,1904.0,600.0,600.0,5.0,-1136673.9702109275
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,link08,429.71,1005.0,2082.0,730.0,730.0,6.0,-1154964.9811219007
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,link09,429.071,925.0,1866.0,582.0,582.0,6.0,-1129933.8504797688
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,link10,406.192,921.0,1878.0,598.0,598.0,6.0,-1128579.9759764282
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,link_ALL,549.732,668.0,1368.0,436.0,436.0,5.0,-1.1847254569155417E7
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,link00,200.263,914.0,1872.0,658.0,658.0,7.0,-1129593.8972196584
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,link01,207.872,842.0,1740.0,618.0,618.0,8.0,-1135744.3847859267
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,link02,217.131,960.0,1970.0,686.0,686.0,9.0,-1142476.9669801262
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,link03,237.839,1001.0,2096.0,816.0,816.0,9.0,-1147766.7334185862
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,link04,239.853,926.0,1900.0,692.0,692.0,8.0,-1137353.604559129
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,link05,208.245,962.0,1976.0,722.0,722.0,7.0,-1148107.4703632612
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,link06,252.717,939.0,1928.0,704.0,704.0,12.0,-1140964.9465083177
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,link07,217.91,906.0,1864.0,614.0,614.0,10.0,-1136843.8289797066
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,link08,200.109,966.0,2026.0,742.0,742.0,8.0,-1152470.3314360545
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,link09,222.627,924.0,1878.0,638.0,638.0,9.0,-1130146.0045846105
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,link10,231.088,865.0,1756.0,558.0,558.0,11.0,-1121240.147378301
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,link_ALL,316.271,711.0,1486.0,570.0,570.0,9.0,-1.184959227276519E7
